Finalización de actividades (%),G1,G2,G3
45,4.3478260869565215,5.555555555555555,9.090909090909092
50,4.3478260869565215,0.0,13.636363636363635
55,4.3478260869565215,0.0,9.090909090909092
60,4.3478260869565215,11.11111111111111,18.181818181818183
65,4.3478260869565215,5.555555555555555,9.090909090909092
70,0.0,0.0,13.636363636363635
75,8.695652173913043,5.555555555555555,13.636363636363635
80,8.695652173913043,11.11111111111111,9.090909090909092
85,13.043478260869565,11.11111111111111,4.545454545454546
90,13.043478260869565,16.666666666666664,0.0
95,13.043478260869565,11.11111111111111,0.0
100,21.73913043478261,22.22222222222222,0.0
